on x=-1..48,y=-18..35,z=-45..4
on x=-48575..-18955,y=-33677..-7346,z=-86145..-60031
on x=-70103..-45107,y=56430..67948,z=-4521..22032
on x=-39000..-11704,y=-89826..-66521,z=2050..13409
on x=-79014..-51289,y=-18428..-7420,z=-40051..-36036
on x=63968..77897,y=-46827..-24236,z=-17549..-1367
on x=40284..69939,y=-59306..-37365,z=-33218..-24152
on x=-5865..6145,y=-45825..-19521,z=54336..77839
on x=-36677..-2216,y=-18925..10640,z=76012..92808
on x=34752..51086,y=-46989..-9643,z=45901..76454
on x=-33588..-15727,y=-11258..9373,z=-96263..-60633
on x=-73095..-49898,y=25057..49623,z=15417..28776
on x=4163..24517,y=-20001..-2003,z=-80081..-60804
on x=-86958..-54386,y=6397..30505,z=-38410..-16437
on x=-39425..-21522,y=60205..71184,z=-26523..-9906
on x=-1999..16749,y=-19711..3250,z=-90466..-79089
on x=52104..70877,y=49853..69350,z=-26043..-5847
on x=24930..39110,y=62242..79178,z=11719..29720
on x=-60664..-51784,y=43333..65915,z=601..19359
on x=-29790..-6353,y=15820..24330,z=60477..88555
on x=32312..47112,y=-28093..-18926,z=-79625..-46718
on x=60532..91913,y=-20228..-1888,z=-19805..-11355
on x=32446..58611,y=47906..68941,z=11821..34225
on x=-39549..-18048,y=40533..75594,z=46997..70196
on x=-32503..-25718,y=51256..59295,z=-70760..-49449
on x=-59217..-29514,y=-74861..-57830,z=-6269..24788
on x=-80361..-65493,y=428..2713,z=33014..44378
on x=31542..41702,y=-32423..-22521,z=56883..80195
on x=9359..34184,y=-76555..-63080,z=11041..40148
on x=7929..24123,y=50480..66548,z=-64026..-46463
on x=-43348..-34979,y=-68370..-55559,z=26232..43403
on x=-4464..10557,y=46962..65148,z=-71132..-61326
on x=-3771..22814,y=44252..68810,z=45781..60494
on x=16543..35012,y=13610..25339,z=65440..82579
on x=50974..66025,y=30398..66352,z=-2272..16038
on x=46191..53893,y=-38750..-27782,z=-46797..-31742
on x=59527..88181,y=4389..27568,z=18080..46791
on x=36489..52121,y=-60282..-37683,z=-33913..-12899
on x=-60041..-48837,y=53336..56411,z=-12772..19906
on x=-82656..-78380,y=-23713..7350,z=846..9694
on x=-69894..-54155,y=20299..50513,z=-12904..4460
on x=26093..46240,y=-28122..1445,z=-77998..-52871
on x=-53121..-32900,y=-63457..-34367,z=27620..52825
on x=-84340..-58234,y=44385..45908,z=-9758..3136
on x=-5984..19701,y=-46271..-28381,z=-75864..-47509
on x=56726..68908,y=36981..42831,z=-15306..17015
on x=-44682..-25301,y=39444..56028,z=25699..54323
on x=58214..80818,y=9623..41643,z=-16613..-11010
on x=-82918..-50677,y=22662..39310,z=-16004..6698
on x=-32905..-27900,y=5414..42444,z=64349..78279
on x=-70719..-58202,y=-41565..-19928,z=13718..33387
on x=56598..71196,y=-48262..-39005,z=-402..34641
on x=74793..78440,y=-26790..-8302,z=3994..33189
on x=-59924..-37383,y=29231..42923,z=-65456..-35636
on x=-78704..-48945,y=-23030..-14889,z=41803..50251
on x=52005..72511,y=-63467..-39781,z=-42303..-19657
on x=-27872..-10193,y=-15032..84,z=-82481..-77982
on x=-8502..20386,y=-61440..-50322,z=-60658..-51335
on x=-62283..-27803,y=-33963..-8484,z=41565..64105
on x=2033..26056,y=28525..29178,z=57035..90868
on x=-81809..-66606,y=-33053..-21379,z=14578..30469
on x=-44610..-15911,y=-69004..-46363,z=-64934..-36016
on x=-68945..-52936,y=-42125..-28586,z=29486..35239
on x=-22616..494,y=-93383..-64839,z=-33613..-13156
on x=53402..81484,y=-45709..-29640,z=16971..27227
on x=-17329..2689,y=38367..60236,z=-65779..-53760
on x=544..9988,y=-88763..-77587,z=-17004..12529
on x=28694..49703,y=69019..79788,z=-28728..1438
on x=-22376..3335,y=43849..67633,z=40655..65775
on x=-80423..-61942,y=-18552..16738,z=-16089..-10995
on x=-5300..17339,y=-75762..-63850,z=-44774..-23776
on x=-74769..-55813,y=27477..42211,z=-30079..-3179
on x=-40995..-24004,y=-41765..-23675,z=52719..78465
on x=53025..66595,y=-3553..22759,z=-53394..-38188
on x=-45876..-36194,y=55838..79908,z=2550..25102
on x=-63485..-52881,y=18021..42286,z=27309..46403
on x=-48779..-39049,y=-58743..-33299,z=35080..60133
on x=-31467..4569,y=-61369..-32859,z=-85202..-59337
off x=21993..32253,y=48441..65406,z=-47996..-40073
off x=-35198..-22285,y=69010..86520,z=-9592..7187
on x=-64097..-37019,y=13152..21867,z=61006..76336
off x=-22742..-5033,y=-56240..-40408,z=48511..65431
on x=-36566..-5811,y=-16313..2085,z=-93612..-64069
off x=61089..77983,y=-41277..-14061,z=-50208..-34100
off x=-68065..-53648,y=23725..27195,z=31676..42758
off x=21031..52474,y=-74280..-49485,z=-47275..-27138
off x=-93645..-53928,y=12384..44405,z=-27207..-41
on x=-4055..5189,y=-40337..-32543,z=-81591..-55238
on x=-34530..-11306,y=-22986..10495,z=-82396..-61102
on x=-31250..-14900,y=-30548..-18642,z=52820..73833
on x=34978..60410,y=28155..49790,z=39140..72681
off x=-6448..19399,y=5391..27886,z=-91414..-59741
off x=-75827..-60684,y=-46368..-41254,z=-15781..397
on x=-57977..-22796,y=-76925..-41529,z=18880..52786
off x=-83983..-60140,y=-44019..-12351,z=-14305..4593
off x=-49298..-44993,y=4614..27922,z=-70305..-59112
off x=-62329..-61994,y=-7625..18261,z=-69368..-38425
on x=67823..80427,y=5390..27375,z=-5980..8640
on x=-73645..-61230,y=-44444..-19430,z=-17891..-2980
off x=-64208..-46311,y=-63901..-30902,z=23938..57840
on x=32048..60913,y=-7824..11109,z=-78997..-55347
on x=-61365..-36248,y=-74363..-55469,z=-7759..11367
off x=42202..64640,y=35785..61939,z=6015..23732
off x=5488..28392,y=57003..93250,z=-1191..12909
off x=67515..82974,y=-39921..-21713,z=-18901..19539
on x=-96694..-76643,y=-1592..33662,z=7429..21816
on x=-52157..-33815,y=53007..73829,z=8064..26216
on x=75229..85614,y=-599..18554,z=7659..19227
on x=28376..57292,y=-72617..-48528,z=-22618..-19371
off x=-59398..-44521,y=-29031..-15883,z=-70674..-34037
on x=55293..83437,y=2780..19016,z=-41097..-20096
on x=-14860..4603,y=56936..77754,z=18511..39251
off x=52997..63549,y=-37151..-14473,z=-58163..-32431
on x=-23500..2396,y=-26375..-132,z=-93218..-65307
off x=69361..93524,y=-24773..-5007,z=-8425..3017
on x=58814..85297,y=-47032..-35846,z=-13872..16641
off x=-90866..-64554,y=-27446..-12033,z=-6160..23746
off x=-3033..13343,y=-85265..-63549,z=-32550..-16157
off x=-1789..15572,y=-40747..-20883,z=60589..75014
on x=-9804..23598,y=-64924..-59519,z=35818..48512
on x=-38448..-2399,y=-13227..-7752,z=-85365..-63035
on x=28680..44639,y=-8409..2978,z=-80875..-61970
off x=3813..25722,y=49510..58204,z=45835..68471
on x=63257..90085,y=-7449..19104,z=-25..23109
on x=81..38276,y=44760..68292,z=-80214..-43996
on x=-8169..20844,y=17766..36865,z=-81104..-59358
off x=-79202..-62792,y=-26615..-9801,z=-4233..9695
off x=16101..39646,y=-93382..-62245,z=8333..24397
on x=-34695..-24663,y=61543..78424,z=-50217..-29226
off x=-92579..-74463,y=-17185..2660,z=-27311..-9170
off x=58152..76439,y=-33703..-22233,z=-8339..20525
on x=-34466..-2282,y=-59486..-37139,z=54046..71619
off x=-81089..-74394,y=13555..29830,z=10991..21447
off x=-47693..-41300,y=-66511..-57519,z=-15746..2821
off x=-86020..-71840,y=-28708..-19562,z=-31911..-8481
off x=53433..76347,y=17199..50613,z=17411..41638
off x=64984..70249,y=16701..43046,z=27880..52439
on x=-25413..-5189,y=-70745..-53828,z=-45390..-30486
off x=-34986..-20787,y=16693..54533,z=-68201..-66989
off x=-22407..10815,y=-56235..-28903,z=66827..82035
off x=-7229..24987,y=-74889..-70150,z=-42634..-10717
on x=61850..74170,y=-3025..17055,z=-51696..-31704
on x=-10078..11184,y=49432..67395,z=41346..45818
off x=-44780..-29593,y=-37456..-16661,z=-86554..-51942
off x=24959..39704,y=47845..59502,z=41279..53062
off x=50387..84028,y=-14697..3304,z=31116..52595
on x=7987..30004,y=-74741..-53596,z=-65460..-47213
on x=-75044..-57110,y=47945..68090,z=8399..24536
on x=26605..43266,y=-76631..-58644,z=-16557..13316
on x=-18526..-445,y=29437..47879,z=-78656..-62931
off x=47346..50550,y=7714..28258,z=-68990..-43642
off x=5010..26119,y=-70819..-52223,z=43562..46965
off x=40922..70019,y=13891..28648,z=38562..60313
on x=-68851..-46794,y=15843..29283,z=26538..63304
off x=-10070..19847,y=-42799..-16564,z=-89201..-61852
on x=-94..26044,y=35850..59332,z=43166..74939
on x=72857..82846,y=11676..31044,z=-7337..21481
on x=-86891..-74618,y=8041..15909,z=-22524..7319
off x=-6531..4581,y=55498..74729,z=17054..43380
on x=43147..61852,y=-52092..-34293,z=-53407..-33277
on x=42898..63895,y=38414..67321,z=36757..53643
off x=-48094..-21082,y=-2904..16322,z=61588..93757
off x=28145..50157,y=-49071..-30119,z=38908..63084
off x=-42556..-25827,y=39054..63949,z=-69190..-50949
on x=-51347..-32594,y=-67175..-45834,z=-49233..-33986
on x=29820..43610,y=17692..42346,z=-69108..-46540
on x=42237..51469,y=35615..63053,z=-52330..-42423
on x=25808..53353,y=-24891..11597,z=-66644..-58186
off x=5152..13607,y=-59351..-32970,z=57736..79356
on x=-51521..-42645,y=16464..44515,z=47395..58429
on x=57992..75886,y=-8447..21320,z=40625..59285
on x=-22302..1936,y=26947..43631,z=65888..82038
off x=-22444..-704,y=72602..90007,z=16263..38491
off x=-35368..-16154,y=62065..85297,z=-10017..15270
off x=75796..95425,y=-23028..9545,z=-10474..14719
off x=-62881..-43507,y=28005..45544,z=-51730..-23001
off x=-34342..-20555,y=18279..36660,z=-74104..-50052
off x=-73479..-64663,y=-22317..-13353,z=-39912..-29567
on x=1494..5125,y=66357..70787,z=-43240..-26843
off x=-71559..-51960,y=37215..40836,z=11752..30396
off x=68685..71294,y=-27543..-8806,z=17367..42352
off x=-93924..-67132,y=-25823..11182,z=5431..33711
off x=35564..65276,y=-23013..-7997,z=-72588..-54025
on x=-90262..-68890,y=25897..51932,z=-5182..677
on x=-2613..18067,y=-7780..25272,z=64835..97062
off x=-71949..-47713,y=5377..23957,z=-51697..-33553
on x=13021..38912,y=-80820..-56879,z=-43587..-19587
on x=-84708..-48507,y=24611..53624,z=9478..25637
off x=51153..63433,y=47603..59113,z=7910..20497
off x=-34614..-13873,y=58451..70828,z=16703..47588
on x=-15592..1816,y=-94634..-68699,z=-17343..4032
off x=8693..17027,y=-85083..-57180,z=-32433..-22117
on x=-71073..-48520,y=-61171..-56263,z=-8077..24429
on x=18761..33445,y=-34161..-11912,z=-76487..-63493
off x=-71183..-51320,y=-33705..-9711,z=-50743..-31159
on x=21266..39612,y=-84552..-62206,z=-40513..-20917
on x=-22410..285,y=17900..46706,z=72043..75407
on x=17565..45107,y=55640..70614,z=-52893..-42440
on x=4350..22563,y=-83182..-67900,z=15567..20770
off x=23504..44371,y=-77148..-52414,z=-2767..2514
off x=-59728..-48637,y=-43662..-15334,z=34025..65733
on x=-4606..11234,y=60774..91167,z=-23118..-6966
on x=59274..84616,y=5061..23662,z=-28929..-14210
on x=-3514..9286,y=18826..27197,z=73597..85060
off x=-73563..-52052,y=-1483..5727,z=42293..55936
off x=-26925..-11613,y=44345..64963,z=-66419..-30161
on x=-22891..-2780,y=-42061..-14656,z=-80953..-64258
on x=13194..48131,y=-77347..-61475,z=13899..29867
on x=21814..32657,y=-52867..-42563,z=-64833..-38328
on x=50121..77992,y=-18402..12993,z=34458..53263
on x=-5816..9664,y=-61030..-51780,z=-57924..-42385
off x=-24547..-5855,y=42851..55379,z=-66831..-45917
on x=-79253..-62961,y=-35210..-14357,z=-1851..14458
off x=-45457..-34564,y=-1909..19181,z=-88225..-49236
on x=-73093..-48713,y=-51280..-28270,z=-58417..-26764
on x=28972..54932,y=32695..46221,z=-61346..-44126
off x=-72001..-63001,y=21943..37488,z=-48733..-22731
on x=-53378..-16455,y=38563..66217,z=-54458..-49292
on x=-50481..-38389,y=33272..59345,z=-48408..-25772
on x=-15684..16104,y=-3749..26449,z=-92691..-65542
on x=-48257..-34591,y=42080..76060,z=31710..47665
on x=-68085..-39645,y=42059..66145,z=-16754..12973
on x=16863..38701,y=-73014..-55734,z=-49006..-30858
on x=-47835..-12762,y=19470..24912,z=-72515..-52345
off x=76693..90007,y=-22735..10009,z=1595..23810
on x=-33312..2270,y=27162..58916,z=54379..77016
off x=-37166..-19572,y=3437..29618,z=65395..82988
on x=-69021..-40344,y=51504..67404,z=1562..19152
off x=44270..65868,y=-20558..-1138,z=-69620..-46023
on x=-25132..-893,y=43048..69830,z=33541..61843
off x=-26336..-11905,y=-76697..-44759,z=37333..48386
off x=-51573..-26363,y=51024..85220,z=17703..29898
on x=6972..29846,y=40862..57749,z=53546..67014
off x=-82587..-61588,y=30156..55947,z=-23441..-14242
on x=53623..67812,y=-5042..4972,z=41771..66174
off x=-20249..-1391,y=56910..79807,z=-54443..-40975
on x=9661..39445,y=60898..86084,z=12021..22727
on x=-5594..19977,y=-15658..-11820,z=63980..86826
off x=51879..80957,y=-55766..-34337,z=-21867..1368
off x=-9663..250,y=-31246..-21672,z=58525..87914
on x=-49707..-41630,y=6704..24869,z=-65152..-43466
on x=58344..69560,y=-12016..-131,z=29623..59642
on x=-60068..-39875,y=49188..71862,z=-23840..6463
on x=-72100..-54955,y=-36846..-26054,z=1190..18416
on x=21115..33940,y=-89414..-56975,z=-25177..-1394
off x=-69120..-43376,y=29560..39845,z=-46691..-27177
on x=-29488..-8760,y=49023..71514,z=-48639..-35316
off x=-237..19564,y=-51062..-32851,z=53532..84174
off x=29377..42498,y=-87897..-54866,z=-1260..2339
on x=-53421..-21867,y=54307..61870,z=22283..40589
off x=30204..36157,y=-34923..-22939,z=58831..75622
off x=45990..75451,y=40254..65804,z=-27928..-11460
off x=-5053..9582,y=-56383..-35127,z=-67131..-57546
on x=31129..54902,y=-1102..-114,z=65939..73127
on x=-47621..-24798,y=-35621..-2323,z=61417..82385
on x=-69723..-64530,y=22399..28572,z=-47850..-23758
off x=-31316..-13914,y=22835..29818,z=69274..85492
on x=-32403..-9823,y=-34119..-12164,z=66082..76097
on x=-79078..-44568,y=39157..61837,z=19345..34957
off x=30839..37226,y=-67241..-42234,z=-54829..-34916
on x=63646..75622,y=12404..45966,z=-20861..4171
off x=28471..57448,y=-68089..-47516,z=-33516..2
on x=62495..87569,y=6106..27023,z=-45194..-17767
off x=-38770..-31582,y=-87012..-57465,z=-28392..-2961
on x=16627..29254,y=35706..48023,z=-71576..-43430
off x=6249..33814,y=24230..54794,z=58085..82036
off x=-27246..8755,y=4459..30303,z=-93666..-72766
on x=58284..74924,y=-16099..10160,z=34646..54595
off x=-63748..-51168,y=-13811..12314,z=49634..76027
on x=22610..60232,y=-45531..-24668,z=48785..62445
off x=26226..50900,y=-80496..-61749,z=383..32992
off x=-772..26897,y=7961..26898,z=-80721..-73028
off x=-55010..-50585,y=-36460..-23884,z=52171..64350
on x=-76278..-56858,y=31576..38443,z=-32320..1565
off x=-41500..-10670,y=-261..13422,z=-82902..-66496
on x=19358..34516,y=309..16749,z=65757..78408
off x=-57721..-25243,y=44303..64574,z=18464..39920
on x=26428..31600,y=69169..79816,z=2105..40395
